wordform,sum_freq,norm_freq,log_freq,sqrt_freq,Moby_pron,Rep_P,Rep_O
no,714403,1587.562222,0.674320122,100,n/oU/,_/_/n/o/_/_/_/,_/_/n/o/_/_/_/_/
nock,18,0.04,0.05,4.242640687,n/A/k,_/_/n/a/k/_/_/,_/_/n/o/c/k/_/_/
nod,5489,12.19777778,0.236043501,74.08778577,n/A/d,_/_/n/a/d/_/_/,_/_/n/o/d/_/_/_/
node,1279,2.842222222,0.123147519,35.76310948,n/oU/d,_/_/n/o/d/_/_/,_/_/n/o/d/e/_/_/
nog,45,0.1,0.05,6.708203932,n/A/g,_/_/n/a/g/_/_/,_/_/n/o/g/_/_/_/
noise,18055,40.12222222,0.340019642,100,n/Oi/z,_/_/n/O/z/_/_/,_/_/n/o/i/s/e/_/
nonce,28,0.062222222,0.05,5.291502622,n/A/ns,_/_/n/a/n/s/_/,_/_/n/o/n/c/e/_/
none,40625,90.27777778,0.412968403,100,n/oU/n,_/_/n/^/n/_/_/,_/_/n/o/n/e/_/_/
nones,17,0.037777778,0.05,4.123105626,n/oU/nz,_/_/n/^/n/z/_/,_/_/n/o/n/e/s/_/
nook,824,1.831111111,0.095208759,28.70540019,n/U/k,_/_/n/U/k/_/_/,_/_/n/o/o/k/_/_/
noon,8884,19.74222222,0.277407323,94.25497334,n/u/n,_/_/n/u/n/_/_/,_/_/n/o/o/n/_/_/
noose,738,1.64,0.088814632,27.16615541,n/u/s,_/_/n/u/s/_/_/,_/_/n/o/o/s/e/_/
nope,1964,4.364444444,0.153680903,44.31703961,n/oU/p,_/_/n/o/p/_/_/,_/_/n/o/p/e/_/_/
nor,41688,92.64,0.415305948,100,n/O/r,_/_/n/o/r/_/_/,_/_/n/o/r/_/_/_/
norm,4565,10.14444444,0.220572206,67.56478373,n/O/rm,_/_/n/o/r/m/_/,_/_/n/o/r/m/_/_/
norse,288,0.64,0.05,16.97056275,n/O/rs,_/_/n/o/r/s/_/,_/_/n/o/r/s/e/_/
north,79231,176.0688889,0.473591241,100,n/O/r/T/,_/_/n/o/r/T/_/,_/_/n/o/r/t/h/_/
nose,22902,50.89333333,0.361303566,100,n/oU/z,_/_/n/o/z/_/_/,_/_/n/o/s/e/_/_/
