wordform,sum_freq,norm_freq,log_freq,Moby_pron,Rep_P,Rep_O,sqrt_freq
lisp,258,0.573333333,0.05,l/I/sp,_/_/l/I/s/p/_/,_/_/l/i/s/p/_/_/,16.0623784
list,77798,172.8844444,0.471930926,l/I/st,_/_/l/I/s/t/_/,_/_/l/i/s/t/_/_/,278.9229284
flick,5032,11.18222222,0.228717985,fl/I/k,_/f/l/I/k/_/_/,_/f/l/i/c/k/_/_/,70.9365914
chalk,2427,5.393333333,0.16973366,/tS/O/k,_/_/C/a/k/_/_/,_/c/h/a/l/k/_/_/,49.26459175
sue,10835,24.07777778,0.294772732,s/u/,_/_/s/u/_/_/_/,_/_/s/u/e/_/_/_/,104.0913061
sub,2754,6.12,0.179582522,s/@/b,_/_/s/^/b/_/_/,_/_/s/u/b/_/_/_/,52.47856705
sun,54487,121.0822222,0.439571965,s/@/n,_/_/s/^/n/_/_/,_/_/s/u/n/_/_/_/,233.424506
sum,12458,27.68444444,0.307066238,s/@/m,_/_/s/^/m/_/_/,_/_/s/u/m/_/_/_/,111.6154111
sup,613,1.362222222,0.078643349,s/@/p,_/_/s/^/p/_/_/,_/_/s/u/p/_/_/_/,24.75883681
womb,1966,4.368888889,0.153756669,w/u/m,_/_/w/u/m/_/_/,_/_/w/o/m/b/_/_/,44.33959855
clique,782,1.737777778,0.092141835,kl/i/k,_/k/l/i/k/_/_/,_/c/l/i/q/u/e/_/,27.96426291
flat,24666,54.81333333,0.367965948,fl/&/t,_/f/l/@/t/_/_/,_/f/l/a/t/_/_/_/,157.0541308
flaw,4865,10.81111111,0.225887622,fl/O/,_/f/l/a/_/_/_/,_/f/l/a/w/_/_/_/,69.74955197
mire,1215,2.7,0.119696767,m/aI/r,_/_/m/Y/r/_/_/,_/_/m/i/r/e/_/_/,34.85685012
flax,358,0.795555556,0.053549257,fl/&/ks,_/f/l/@/k/s/_/,_/f/l/a/x/_/_/_/,18.92088793
flag,16453,36.56222222,0.331735417,fl/&/g,_/f/l/@/g/_/_/,_/f/l/a/g/_/_/_/,128.2692481
flab,202,0.448888889,0.05,fl/&/b,_/f/l/@/b/_/_/,_/f/l/a/b/_/_/_/,14.2126704
flam,25,0.055555556,0.05,fl/&/m,_/f/l/@/m/_/_/,_/f/l/a/m/_/_/_/,5
flan,221,0.491111111,0.05,fl/&/n,_/f/l/@/n/_/_/,_/f/l/a/n/_/_/_/,14.86606875
flak,684,1.52,0.084558608,fl/&/k,_/f/l/@/k/_/_/,_/f/l/a/k/_/_/_/,26.15339366
putsch,137,0.304444444,0.05,p/U/tS/,_/_/p/U/C/_/_/,_/_/p/u/t/s/c/h/,11.70469991
short,78952,175.4488889,0.473270337,/S/O/rt,_/_/S/o/r/t/_/,_/s/h/o/r/t/_/_/,280.9839853
shore,12711,28.24666667,0.308842079,/S/oU/r,_/_/S/o/r/_/_/,_/s/h/o/r/e/_/_/,112.7430707
shorn,88,0.195555556,0.05,/S/oU/rn,_/_/S/o/r/n/_/,_/s/h/o/r/n/_/_/,9.38083152
flaunt,991,2.202222222,0.106477865,fl/O/nt,_/f/l/a/n/t/_/,_/f/l/a/u/n/t/_/,31.48015248
bout,4183,9.295555556,0.213323719,b/AU/t,_/_/b/A/t/_/_/,_/_/b/o/u/t/_/_/,64.67611615
weight,49815,110.7,0.431440688,w/eI/t,_/_/w/e/t/_/_/,_/_/w/e/i/g/h/t/,223.1927418
hilt,638,1.417777778,0.080770084,h/I/lt,_/_/h/I/l/t/_/,_/_/h/i/l/t/_/_/,25.25866188
hill,45204,100.4533333,0.422637914,h/I/l,_/_/h/I/l/_/_/,_/_/h/i/l/l/_/_/,212.6123233
jew,20245,44.98888889,0.350252682,/dZ/u/,_/_/J/u/_/_/_/,_/_/j/e/w/_/_/_/,142.2849254
stork,395,0.877777778,0.057645593,st/O/rk,_/s/t/o/r/k/_/,_/s/t/o/r/k/_/_/,19.87460691
storm,29422,65.38222222,0.383831478,st/O/rm,_/s/t/o/r/m/_/,_/s/t/o/r/m/_/_/,171.5284233
store,76840,170.7555556,0.470803914,st/oU/r,_/s/t/o/r/_/_/,_/s/t/o/r/e/_/_/,277.2002886
king,55204,122.6755556,0.440758279,k/I/N/,_/_/k/I/G/_/_/,_/_/k/i/n/g/_/_/,234.9553149
kind,177054,393.4533333,0.546869659,k/aI/nd,_/_/k/Y/n/d/_/,_/_/k/i/n/d/_/_/,420.7778511
kink,697,1.548888889,0.085601446,k/I/N/k,_/_/k/I/G/k/_/,_/_/k/i/n/k/_/_/,26.40075756
shrewd,1352,3.004444444,0.12693091,/S/r/u/d,_/S/r/u/d/_/_/,s/h/r/e/w/d/_/_/,36.76955262
gnash,149,0.331111111,0.05,n/&/S/,_/_/n/@/S/_/_/,_/g/n/a/s/h/_/_/,12.20655562
gill,547,1.215555556,0.072779004,g/I/l,_/_/g/I/l/_/_/,_/_/g/i/l/l/_/_/,23.38803113
gild,305,0.677777778,0.05,g/I/ld,_/_/g/I/l/d/_/,_/_/g/i/l/d/_/_/,17.4642492
gilt,548,1.217777778,0.072870721,g/I/lt,_/_/g/I/l/t/_/,_/_/g/i/l/t/_/_/,23.40939982
cote,106,0.235555556,0.05,k/oU/t,_/_/k/o/t/_/_/,_/_/c/o/t/e/_/_/,10.29563014
skill,60199,133.7755556,0.4486216,sk/I/l,_/s/k/I/l/_/_/,_/s/k/i/l/l/_/_/,245.3548451
