wordform,sum_freq,norm_freq,log_freq,sqrt_freq_raw,sqrt_freq,bcLambda_0.0,bcLambda_0.1,bcLambda_0.2,bcLambda_0.3,bcLambda_0.4,bcLambda_0.5,bcLambda_0.6,bcLambda_0.7,bcLambda_0.8,bcLambda_0.9,bcLambda_1.0,Moby_pron,Rep_P,Rep_O
bail,3442,7.648888889,0.197379057,58.66856058,0.000148356,0.000263072,0.000255403,0.000238639,0.00021153,0.000175794,0.000135955,9.76E-05,6.51E-05,4.06E-05,2.38E-05,1.32E-05,b/eI/l,_/_/b/e/l/_/_/,_/_/b/a/i/l/_/_/
bairn,26,0.057777778,0.05,5.099019514,1.29E-05,0.000105247,7.82E-05,5.35E-05,3.34E-05,1.89E-05,9.66E-06,4.50E-06,1.92E-06,7.55E-07,2.78E-07,9.61E-08,b/@/rn,_/_/b/E/r/n/_/,_/_/b/a/i/r/n/_/
bait,3786,8.413333333,0.20512775,61.53048025,0.000155593,0.000266149,0.000259791,0.000244349,0.000218246,0.000182895,0.000142702,0.000103368,6.96E-05,4.38E-05,2.59E-05,1.46E-05,b/eI/t,_/_/b/e/t/_/_/,_/_/b/a/i/t/_/_/
baize,63,0.14,0.05,7.937253933,2.01E-05,0.000133837,0.000104237,7.51E-05,4.96E-05,2.99E-05,1.64E-05,8.17E-06,3.75E-06,1.60E-06,6.35E-07,2.38E-07,b/eI/z,_/_/b/e/z/_/_/,_/_/b/a/i/z/e/_/
bake,8848,19.66222222,0.277053784,94.06380813,0.00023786,0.00029357,0.000300798,0.00030034,0.000287382,0.000259687,0.0002194,0.000172515,0.000126292,8.64E-05,5.57E-05,3.40E-05,b/eI/k,_/_/b/e/k/_/_/,_/_/b/a/k/e/_/_/
bald,3909,8.686666667,0.207746433,62.52199613,0.0001581,0.000267181,0.000261274,0.00024629,0.000220544,0.000185339,0.00014504,0.000105385,7.12E-05,4.49E-05,2.67E-05,1.50E-05,b/O/ld,_/_/b/a/l/d/_/,_/_/b/a/l/d/_/_/
bale,858,1.906666667,0.097618343,29.29163703,7.41E-05,0.000218196,0.00019594,0.000166621,0.000132576,9.79E-05,6.67E-05,4.20E-05,2.45E-05,1.33E-05,6.80E-06,3.30E-06,b/eI/l,_/_/b/e/l/_/_/,_/_/b/a/l/e/_/_/
balk,452,1.004444444,0.063617738,21.26029163,5.38E-05,0.000197492,0.000171169,0.000139569,0.000105865,7.41E-05,4.78E-05,2.83E-05,1.56E-05,7.95E-06,3.81E-06,1.73E-06,b/O/k,_/_/b/a/k/_/_/,_/_/b/a/l/k/_/_/
ball,40464,89.92,0.412609097,201.1566554,0.000508666,0.000342678,0.000383524,0.000427753,0.000465078,0.000482912,0.000471874,0.000430605,0.000366458,0.0002918,0.000218758,0.000155589,b/O/l,_/_/b/a/l/_/_/,_/_/b/a/l/l/_/_/
balm,884,1.964444444,0.099419073,29.73213749,7.52E-05,0.00021916,0.000197132,0.000167968,0.00013395,9.91E-05,6.77E-05,4.28E-05,2.50E-05,1.36E-05,6.99E-06,3.40E-06,b/A/m,_/_/b/a/m/_/_/,_/_/b/a/l/m/_/_/
ban,11137,24.74888889,0.297188873,105.5319857,0.000266859,0.000301003,0.000312525,0.000317226,0.000309357,0.000285399,0.000246437,0.000198163,0.0001484,0.000103916,6.85E-05,4.28E-05,b/A/n,_/_/b/a/n/_/_/,_/_/b/a/n/_/_/_/
banc,100,0.222222222,0.05,10,2.53E-05,0.000148762,0.000118768,8.81E-05,6.00E-05,3.74E-05,2.12E-05,1.10E-05,5.27E-06,2.34E-06,9.70E-07,3.81E-07,b/&/N/k,_/_/b/@/G/k/_/,_/_/b/a/n/c/_/_/
